,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
10,6057.0,164.0,1575.0,2441.0,1804.0,1109.0,626.0,524.0,203.0,503.0,0.0,356.0,132.0,101.0,194.0,8.0,182.0,10.0,180.0,62.0,228.0,131.0,84.0,40.0,176.0,250.0,20.0,48.0,204.0,21.0,81.0,15.0,61.0,43.0,95.0,56.0,4.0,2.0,70.0,37.0,44.0,56.0,0.0,19.0,35.0,63.0,27.0,23.0,64.0,22.0,49.0,17.0,33.0,122.0,9.0,19.0,23.0,15.0,73.0,43.0,36.0,33.0,64.0,59.0,16.0,27.0,12.0,0.0,19.0,23.0,22.0,55.0,13.0,0.0,38.0,23.0,34.0,17.0,33.0,10.0,31.0,68.0,20.0,8.0,20.0,12.0,21.0,4.0,7.0,3.0,4.0,31.0,22.0,18.0,2.0,13.0,4.0,15.0,21.0,13.0,12.0,8.0,45.0,26.0,3.0,15.0,4.0,25.0,5.0,11.0,1.0,9.0,5.0,7.0,2.0,57.0,5.0,11.0,6.0,49.0,14.0,12.0,13.0,5.0,4.0,0.0,1.0,0.0,0.0,8.0,16.0,16.0,30.0,9.0,9.0,3.0,13.0,20.0,16.0,22.0,13.0,21.0,12.0,4.0,4.0,27.0,29.0,17.0,7.0,26.0
11,4897.0,3033.0,1194.0,1055.0,1087.0,1144.0,672.0,736.0,116.0,372.0,356.0,0.0,147.0,381.0,398.0,1.0,148.0,12.0,47.0,103.0,45.0,45.0,300.0,19.0,102.0,41.0,35.0,59.0,107.0,48.0,136.0,54.0,55.0,21.0,160.0,64.0,45.0,5.0,190.0,44.0,42.0,43.0,0.0,81.0,19.0,64.0,16.0,77.0,88.0,3.0,94.0,38.0,45.0,12.0,3.0,71.0,16.0,9.0,47.0,33.0,78.0,16.0,28.0,31.0,140.0,16.0,2.0,5.0,9.0,48.0,36.0,22.0,31.0,0.0,2.0,6.0,33.0,6.0,38.0,6.0,41.0,16.0,13.0,10.0,101.0,21.0,29.0,2.0,5.0,37.0,32.0,57.0,93.0,0.0,1.0,0.0,10.0,6.0,9.0,2.0,39.0,12.0,25.0,17.0,4.0,43.0,9.0,33.0,130.0,5.0,15.0,5.0,7.0,7.0,0.0,17.0,13.0,8.0,73.0,6.0,23.0,17.0,75.0,3.0,4.0,0.0,4.0,0.0,0.0,7.0,8.0,12.0,13.0,17.0,49.0,0.0,14.0,29.0,27.0,6.0,9.0,8.0,71.0,1.0,10.0,8.0,8.0,5.0,27.0,10.0
12,4512.0,1587.0,179.0,204.0,153.0,237.0,190.0,434.0,102.0,197.0,132.0,147.0,0.0,84.0,53.0,7.0,3.0,37.0,224.0,9.0,16.0,5.0,81.0,14.0,14.0,10.0,12.0,13.0,23.0,11.0,362.0,5.0,8.0,15.0,17.0,11.0,1.0,10.0,7.0,50.0,9.0,6.0,0.0,26.0,6.0,18.0,4.0,15.0,8.0,6.0,6.0,38.0,4.0,1.0,0.0,0.0,0.0,2.0,16.0,0.0,7.0,4.0,6.0,2.0,17.0,13.0,1.0,1.0,0.0,1.0,144.0,3.0,266.0,1.0,1.0,7.0,14.0,14.0,40.0,2.0,3.0,1.0,37.0,282.0,12.0,0.0,39.0,244.0,2.0,1.0,17.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,9.0,0.0,39.0,8.0,0.0,1.0,0.0,4.0,248.0,0.0,0.0,1.0,1.0,0.0,81.0,38.0,1.0,6.0,1.0,2.0,2.0,2.0,0.0,2.0,14.0,3.0,14.0,14.0,0.0,4.0,1.0,76.0,1.0,8.0,0.0,0.0,2.0,3.0,181.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,2.0
13,4171.0,1781.0,771.0,1102.0,994.0,1214.0,883.0,691.0,174.0,197.0,101.0,381.0,84.0,0.0,302.0,3.0,89.0,1.0,126.0,66.0,78.0,34.0,1017.0,45.0,23.0,231.0,70.0,7.0,20.0,99.0,165.0,153.0,1.0,16.0,63.0,19.0,41.0,0.0,114.0,86.0,44.0,20.0,0.0,997.0,55.0,303.0,1.0,21.0,28.0,52.0,31.0,256.0,43.0,17.0,1.0,42.0,11.0,6.0,15.0,23.0,29.0,2.0,10.0,10.0,160.0,28.0,1.0,12.0,11.0,28.0,19.0,9.0,67.0,0.0,1.0,6.0,27.0,11.0,345.0,6.0,0.0,15.0,87.0,10.0,206.0,1.0,7.0,0.0,15.0,0.0,7.0,1.0,11.0,7.0,0.0,0.0,2.0,1.0,5.0,1.0,108.0,1.0,5.0,15.0,19.0,17.0,9.0,7.0,142.0,1.0,21.0,0.0,11.0,0.0,0.0,23.0,117.0,253.0,203.0,4.0,0.0,6.0,91.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0,115.0,0.0,0.0,41.0,0.0,11.0,2.0,7.0,1.0,9.0,3.0,1.0,66.0,16.0,9.0,7.0,2.0,3.0,20.0,6.0
14,3160.0,2409.0,1004.0,1608.0,927.0,1167.0,351.0,548.0,173.0,152.0,194.0,398.0,53.0,302.0,0.0,2.0,182.0,0.0,207.0,5.0,13.0,32.0,160.0,89.0,126.0,131.0,28.0,6.0,60.0,191.0,42.0,11.0,8.0,23.0,77.0,14.0,43.0,3.0,105.0,39.0,68.0,14.0,0.0,204.0,192.0,27.0,4.0,11.0,19.0,91.0,39.0,39.0,39.0,17.0,0.0,59.0,124.0,3.0,28.0,34.0,145.0,32.0,14.0,21.0,5.0,58.0,5.0,12.0,5.0,56.0,5.0,38.0,27.0,1.0,1.0,22.0,94.0,19.0,25.0,0.0,15.0,13.0,5.0,4.0,212.0,16.0,26.0,28.0,26.0,0.0,13.0,6.0,11.0,6.0,2.0,3.0,2.0,8.0,16.0,8.0,41.0,0.0,9.0,14.0,23.0,13.0,10.0,18.0,36.0,1.0,20.0,7.0,393.0,0.0,0.0,25.0,9.0,7.0,0.0,3.0,5.0,23.0,22.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,40.0,4.0,3.0,3.0,1.0,29.0,1.0,14.0,16.0,2.0,8.0,14.0,6.0,23.0,8.0,4.0,68.0,8.0
15,3277.0,266.0,17.0,18.0,46.0,38.0,8.0,50.0,5.0,36.0,8.0,1.0,7.0,3.0,2.0,0.0,0.0,2.0,2.0,7.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,10.0,4.0,0.0,15.0,0.0,5.0,1.0,0.0,3.0,0.0,44.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,177.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1292.0,1210.0,1675.0,1504.0,1237.0,318.0,470.0,771.0,39.0,203.0,182.0,148.0,3.0,89.0,182.0,0.0,0.0,0.0,106.0,1.0,5.0,77.0,60.0,313.0,240.0,7.0,22.0,13.0,44.0,103.0,7.0,10.0,15.0,56.0,209.0,14.0,33.0,0.0,122.0,18.0,10.0,23.0,0.0,23.0,29.0,28.0,0.0,2.0,22.0,9.0,19.0,31.0,73.0,84.0,0.0,24.0,31.0,3.0,27.0,91.0,102.0,22.0,53.0,16.0,5.0,52.0,9.0,3.0,90.0,166.0,2.0,81.0,16.0,0.0,12.0,15.0,117.0,66.0,18.0,1.0,11.0,91.0,3.0,0.0,35.0,9.0,2.0,0.0,35.0,0.0,11.0,7.0,27.0,1.0,1.0,0.0,5.0,0.0,12.0,1.0,25.0,0.0,15.0,1.0,4.0,21.0,14.0,53.0,8.0,0.0,27.0,6.0,0.0,0.0,0.0,13.0,1.0,9.0,0.0,1.0,6.0,17.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0,14.0,6.0,0.0,42.0,0.0,1.0,2.0,3.0,21.0,2.0,0.0,81.0,0.0
17,2013.0,1329.0,15.0,12.0,19.0,16.0,12.0,7.0,4.0,13.0,10.0,12.0,37.0,1.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,11.0,13.0,0.0,34.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,16.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18,2329.0,984.0,708.0,1197.0,628.0,482.0,735.0,359.0,72.0,227.0,180.0,47.0,224.0,126.0,207.0,2.0,106.0,5.0,0.0,9.0,16.0,42.0,103.0,415.0,79.0,14.0,18.0,17.0,43.0,6.0,100.0,13.0,21.0,11.0,76.0,35.0,25.0,2.0,58.0,31.0,4.0,9.0,0.0,32.0,6.0,47.0,2.0,12.0,42.0,68.0,71.0,0.0,35.0,7.0,0.0,50.0,7.0,3.0,22.0,75.0,17.0,25.0,15.0,27.0,0.0,335.0,1.0,2.0,18.0,56.0,4.0,17.0,11.0,0.0,2.0,9.0,43.0,397.0,30.0,6.0,29.0,10.0,15.0,0.0,89.0,19.0,9.0,2.0,15.0,0.0,391.0,8.0,54.0,0.0,0.0,0.0,4.0,2.0,17.0,5.0,16.0,0.0,17.0,7.0,4.0,6.0,7.0,52.0,12.0,1.0,6.0,4.0,0.0,0.0,1.0,107.0,3.0,8.0,0.0,0.0,7.0,15.0,12.0,1.0,3.0,375.0,0.0,377.0,375.0,1.0,0.0,8.0,96.0,12.0,6.0,2.0,0.0,5.0,8.0,111.0,11.0,5.0,3.0,10.0,4.0,4.0,2.0,2.0,9.0,2.0
19,1992.0,1475.0,140.0,166.0,383.0,114.0,93.0,124.0,11.0,54.0,62.0,103.0,9.0,66.0,5.0,7.0,1.0,1.0,9.0,0.0,38.0,22.0,62.0,1.0,18.0,37.0,0.0,39.0,16.0,5.0,52.0,0.0,90.0,3.0,8.0,239.0,0.0,1.0,61.0,47.0,24.0,33.0,0.0,0.0,2.0,5.0,162.0,20.0,22.0,17.0,34.0,18.0,5.0,3.0,84.0,6.0,0.0,0.0,5.0,2.0,1.0,2.0,8.0,3.0,101.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,2.0,34.0,14.0,0.0,5.0,1.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,7.0,0.0,42.0,1.0,1.0,17.0,0.0,59.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,32.0,18.0,2.0,58.0,0.0,2.0,0.0,0.0,0.0,0.0,184.0,43.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,0.0,14.0,66.0,34.0,1.0,1.0,1.0,4.0,0.0,5.0
